Document Title,Application Number,Document Type,Originating Body,Date,Conclusion
AFFAIRE ARROZPIDE SARASOLA ET AUTRES c. ESPAGNE,65101/16;73789/16;73902/16,HFJUD,Court (Third Section),23/10/2018,Exceptions préliminaires jointes au fond et rejetées (Art. 35) Conditions de recevabilité;(Art. 35-1) Épuisement des voies de recours internes;(Art. 35-3-a) Ratione materiae;Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Accès à un tribunal);Non-violation de l'article 7 - Pas de peine sans loi (Article 7-1 - Peine plus forte);Non-violation de l'article 5 - Droit à la liberté et à la sûreté (Article 5-1 - Arrestation ou détention régulières);Préjudice moral - demande rejetée (Article 41 - Préjudice moral;Satisfaction équitable)
CASE OF ARROZPIDE SARASOLA AND OTHERS v. SPAIN - [Romanian Translation] legal summary by the Constitutional Court of the Republic of Moldova ,65101/16;73789/16;73902/16,HJUDRUM,Court (Third Section),23/10/2018,Preliminary objections joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;(Art. 35-3-a) Ratione materiae;Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Access to court);No violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty);No violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Non-pecuniary damage - claim dismissed (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF ARROZPIDE SARASOLA AND OTHERS v. SPAIN - [Portuguese Translation] summary by the ECHR,65101/16;73789/16;73902/16,HJUDPOR,Court (Third Section),23/10/2018,Preliminary objections joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;(Art. 35-3-a) Ratione materiae;Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Access to court);No violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty);No violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Non-pecuniary damage - claim dismissed (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF ARROZPIDE SARASOLA AND OTHERS v. SPAIN,65101/16;73789/16;73902/16,HEJUD,Court (Third Section),23/10/2018,Preliminary objections joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;(Art. 35-3-a) Ratione materiae;Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Access to court);No violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty);No violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Non-pecuniary damage - claim dismissed (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF ARROZPIDE SARASOLA AND OTHERS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,65101/16;73789/16;73902/16,HJUDSPA,Court (Third Section),23/10/2018,Preliminary objections joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;(Art. 35-3-a) Ratione materiae;Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Access to court);No violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty);No violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Non-pecuniary damage - claim dismissed (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF STERN TAULATS AND ROURA CAPELLERA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,51168/15;51186/15,HJUDSPA,Court (Third Section),13/03/2018,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF STERN TAULATS AND ROURA CAPELLERA v. SPAIN - [Romanian Translation] legal summary by the Supreme Court of Justice of the Republic of Moldova,51168/15;51186/15,HJUDRUM,Court (Third Section),13/03/2018,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF VILCHES CORONADO AND OTHERS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,55517/14,HJUDSPA,Court (Third Section),13/03/2018,No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing)
CASE OF STERN TAULATS AND ROURA CAPELLERA v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),51168/15;51186/15,HJUDGER,Court (Third Section),13/03/2018,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF STERN TAULATS AND ROURA CAPELLERA v. SPAIN - [Croatian Translation] summary by the Republic of Croatia (Office of the Agent) ,51168/15;51186/15,HJUDHRV,Court (Third Section),13/03/2018,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF STERN TAULATS AND ROURA CAPELLERA v. SPAIN - [Slovenian Translation] legal summary by the Supreme Court of the Republic of Slovenia,51168/15;51186/15,HJUDSLV,Court (Third Section),13/03/2018,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction)
AFFAIRE VILCHES CORONADO ET AUTRES c. ESPAGNE,55517/14,HFJUD,Court (Third Section),13/03/2018,Non-violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable)
CASE OF VILCHES CORONADO AND OTHERS v. SPAIN,55517/14,HEJUD,Court (Third Section),13/03/2018,No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing)
CASE OF STERN TAULATS AND ROURA CAPELLERA v. SPAIN,51168/15;51186/15,HEJUD,Court (Third Section),13/03/2018,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction)
AFFAIRE STERN TAULATS ET ROURA CAPELLERA c. ESPAGNE,51168/15;51186/15,HFJUD,Court (Third Section),13/03/2018,Violation de l'article 10 - Liberté d'expression-{général} (Article 10-1 - Liberté d'expression);Dommage matériel - réparation (Article 41 - Dommage matériel;Satisfaction équitable);Préjudice moral - constat de violation suffisant (Article 41 - Préjudice moral;Satisfaction équitable)
CASE OF PORTU JUANENEA AND SARASOLA YARZABAL v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,1653/13,HJUDSPA,Court (Third Section),13/02/2018,Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
AFFAIRE PORTU JUANENEA ET SARASOLA YARZABAL c. ESPAGNE,1653/13,HFJUD,Court (Third Section),13/02/2018,Violation de l'article 3 - Interdiction de la torture (Article 3 - Traitement dégradant;Traitement inhumain) (Volet matériel);Violation de l'article 3 - Interdiction de la torture (Article 3 - Enquête effective) (Volet procédural);Préjudice moral - réparation (Article 41 - Préjudice moral;Satisfaction équitable)
CASE OF PORTU JUANENEA AND SARASOLA YARZABAL v. SPAIN,1653/13,HEJUD,Court (Third Section),13/02/2018,Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF CUENCA ZARZOSO v. SPAIN,23383/12,HEJUD,Court (Third Section),16/01/2018,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for home;Respect for private life)
AFFAIRE CUENCA ZARZOSO c. ESPAGNE,23383/12,HFJUD,Court (Third Section),16/01/2018,Violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8-1 - Respect du domicile;Respect de la vie privée)
CASE OF CUENCA ZARZOSO v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,23383/12,HJUDSPA,Court (Third Section),16/01/2018,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for home;Respect for private life)
CASE OF LÓPEZ RIBALDA AND OTHERS v. SPAIN - [Portuguese Translation] summary by the ECHR,1874/13;8567/13,HJUDPOR,Court (Third Section),09/01/2018,Remainder inadmissible (Art. 35) Admissibility criteria;Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF LÓPEZ RIBALDA AND OTHERS v. SPAIN,1874/13;8567/13,HEJUD,Court (Third Section),09/01/2018,Remainder inadmissible (Art. 35) Admissibility criteria;Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
AFFAIRE LÓPEZ RIBALDA ET AUTRES  c. ESPAGNE,1874/13;8567/13,HFJUD,Court (Third Section),09/01/2018,Partiellement irrecevable (Art. 35) Conditions de recevabilité;Violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8 - Obligations positives;Article 8-1 - Respect de la vie privée);Non-violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure civile;Article 6-1 - Procès équitable);Non-violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure civile;Article 6-1 - Procès équitable);Dommage matériel - demande rejetée (Article 41 - Dommage matériel;Satisfaction équitable);Préjudice moral - réparation (Article 41 - Préjudice moral;Satisfaction équitable)
CASE OF LÓPEZ RIBALDA AND OTHERS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,1874/13;8567/13,HJUDSPA,Court (Third Section),09/01/2018,Remainder inadmissible (Art. 35) Admissibility criteria;Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF LÓPEZ RIBALDA AND OTHERS v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),1874/13;8567/13,HJUDGER,Court (Third Section),09/01/2018,Remainder inadmissible (Art. 35) Admissibility criteria;Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF LÓPEZ RIBALDA AND OTHERS v. SPAIN - [Slovenian Translation] legal summary by the Supreme Court of the Republic of Slovenia,1874/13;8567/13,HJUDSLV,Court (Third Section),09/01/2018,Remainder inadmissible (Art. 35) Admissibility criteria;Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF LÓPEZ RIBALDA AND OTHERS v. SPAIN - [Romanian Translation] legal summary by the Supreme Court of Justice of the Republic of Moldova,1874/13;8567/13,HJUDRUM,Court (Third Section),09/01/2018,Remainder inadmissible (Art. 35) Admissibility criteria;Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF LÓPEZ ELORZA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,30614/15,HJUDSPA,Court (Third Section),12/12/2017,No violation of Article 3 - Prohibition of torture (Article 3 - Extradition) (Conditional) (Spain) (the United States of America)
CASE OF LÓPEZ ELORZA v. SPAIN,30614/15,HEJUD,Court (Third Section),12/12/2017,No violation of Article 3 - Prohibition of torture (Article 3 - Extradition) (Conditional) (the United States of America)
AFFAIRE LÓPEZ ELORZA c. ESPAGNE,30614/15,HFJUD,Court (Third Section),12/12/2017,Non-violation de l'article 3 - Interdiction de la torture (Article 3 - Extradition) (Conditionnel) (États-Unis d’Amérique)
AFFAIRE N.D. ET N.T. c. ESPAGNE,8675/15;8697/15,HFJUD,Court (Third Section),03/10/2017,Exception préliminaire rejetée (Article 34 - Victime);Exception préliminaire rejetée (Article 35-1 - Épuisement des voies de recours internes);Exception préliminaire jointe au fond et rejetée (Article 35-3-a - Ratione materiae);Violation de l'article 4 du Protocole n° 4 - Interdiction des expulsions collectives d'étrangers-{général} (Article 4 du Protocole n° 4 - Interdiction des expulsions collectives d'étrangers);Violation de l'article 13+P4-4 - Droit à un recours effectif (Article 13 - Recours effectif) (Article 4 du Protocole n° 4 - Interdiction des expulsions collectives d'étrangers-{général};Interdiction des expulsions collectives d'étrangers);Préjudice moral - réparation (Article 41 - Préjudice moral;Satisfaction équitable)
CASE OF N.D. AND N.T. v. SPAIN,8675/15;8697/15,HEJUD,Court (Third Section),03/10/2017,Preliminary objection dismissed (Article 34 - Victim);Preliminary objection dismissed (Article 35-1 - Exhaustion of domestic remedies);Preliminary objection joined to merits and dismissed (Article 35-3-a - Ratione materiae);Violation of Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general} (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens);Violation of Article 13+P4-4 - Right to an effective remedy (Article 13 - Effective remedy) (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general};Prohibition of collective expulsion of aliens);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF N.D. AND N.T. v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),8675/15;8697/15,HJUDGER,Court (Third Section),03/10/2017,Preliminary objection dismissed (Art. 34) Individual applications;(Art. 34) Victim;Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Preliminary objection joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-3-a) Ratione materiae;Violation of Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general} (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens);Violation of Article 13+P4-4 - Right to an effective remedy (Article 13 - Effective remedy) (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general};Prohibition of collective expulsion of aliens);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF N.D. AND N.T. v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice ,8675/15;8697/15,HJUDSPA,Court (Third Section),03/10/2017,Preliminary objection dismissed (Article 34 - Victim);Preliminary objection dismissed (Article 35-1 - Exhaustion of domestic remedies);Preliminary objection joined to merits and dismissed (Article 35-3-a - Ratione materiae);Violation of Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general} (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens);Violation of Article 13+P4-4 - Right to an effective remedy (Article 13 - Effective remedy) (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general};Prohibition of collective expulsion of aliens);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF N.D. AND N.T. v. SPAIN - [Romanian Translation] legal summary by the Supreme Court of Justice of the Republic of Moldova,8675/15;8697/15,HJUDRUM,Court (Third Section),03/10/2017,Preliminary objection dismissed (Art. 34) Individual applications;(Art. 34) Victim;Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Preliminary objection joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-3-a) Ratione materiae;Violation of Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general} (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens);Violation of Article 13+P4-4 - Right to an effective remedy (Article 13 - Effective remedy) (Article 4 of Protocol No. 4 - Prohibition of collective expulsion of aliens-{general};Prohibition of collective expulsion of aliens);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
AFFAIRE ATUTXA MENDIOLA ET AUTRES c. ESPAGNE,41427/14,HFJUD,Court (Third Section),13/06/2017,Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable)
CASE OF ATUTXA MENDIOLA AND OTHERS v. SPAIN,41427/14,HEJUD,Court (Third Section),13/06/2017,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing)
CASE OF ATUTXA MENDIOLA AND OTHERS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,41427/14,HJUDSPA,Court (Third Section),13/06/2017,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing)
AFFAIRE TRABAJO RUEDA c. ESPAGNE,32600/12,HFJUD,Court (Third Section),30/05/2017,Violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8-1 - Respect de la vie privée)
CASE OF TRABAJO RUEDA v. SPAIN,32600/12,HEJUD,Court (Third Section),30/05/2017,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF TRABAJO RUEDA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,32600/12,HJUDSPA,Court (Third Section),30/05/2017,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
CASE OF RUBIO DOSAMANTES v. SPAIN - [Slovenian Translation] legal summary by the Supreme Court of the Republic of Slovenia,20996/10,HJUDSLV,Court (Third Section),21/02/2017,Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life)
AFFAIRE RUBIO DOSAMANTES c. ESPAGNE,20996/10,HFJUD,Court (Third Section),21/02/2017,Violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8 - Obligations positives;Article 8-1 - Respect de la vie privée)
CASE OF RUBIO DOSAMANTES v. SPAIN,20996/10,HEJUD,Court (Third Section),21/02/2017,Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life)
CASE OF RUBIO DOSAMANTES v. SPAIN - [Romanian Translation] legal summary by the Supreme Court of Justice of the Republic of Moldova,20996/10,HJUDRUM,Court (Third Section),21/02/2017,Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life)
CASE OF RUBIO DOSAMANTES v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,20996/10,HJUDSPA,Court (Third Section),21/02/2017,Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life)
CASE OF RUBIO DOSAMANTES v. SPAIN - [Czech Translation] summary by the Ministry of Justice of the Czech Republic,20996/10,HJUDCZE,Court (Third Section),21/02/2017,Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life)
AFFAIRE APARICIO NAVARRO REVERTER ET GARCÍA SAN MIGUEL Y ORUETA c. ESPAGNE,39433/11,HFJUD,Court (Third Section),10/01/2017,Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure administrative;Article 6-1 - Accès à un tribunal)
CASE OF APARICIO NAVARRO REVERTER AND GARCÍA SAN MIGUEL Y ORUETA v. SPAIN,39433/11,HEJUD,Court (Third Section),10/01/2017,Violation of Article 6 - Right to a fair trial (Article 6 - Administrative proceedings;Article 6-1 - Access to court)
CASE OF APARICIO NAVARRO REVERTER AND GARCÍA SAN MIGUEL Y ORUETA v. SPAIN  - [Spanish Translation] by the Spanish Ministry of Justice,39433/11,HJUDSPA,Court (Third Section),10/01/2017,Violation of Article 6 - Right to a fair trial (Article 6 - Administrative proceedings;Article 6-1 - Access to court)
