X1,X2,X3,X4,X5,X6
Rafael Ramírez Ramos,NA,Testigo,Aceptado,Vox,NA
Rafael Ribó,Sindic de Greuges,Testigo,Rechazado,NA,"Junqueras, Romeva, Sánchez, Cuixart"
Ramón Antoni Forteza Colomé,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Ramón Font Núñez,"Escoles Obertas, portavoz",Testigo,Aceptado,NA,Cuixart
Ricard Font i Hereu,NA,Testigo,Aceptado,NA,Rull
Ricard Gené Casals,"ANC, secretariado nacional",Testigo,Aceptado,NA,Forcadell
Richard Sennett,"Sociólogo, Let Catalans Vote",Testigo,Rechazado,NA,Cuixart
Roc Pujol i Verdaguer,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Roger Cale,MP,Testigo,Rechazado,NA,Cuixart
Roger Torrent,"Diputado, Parlament",Testigo,Aceptado,Vox,NA
Rosa Mª Rodriguez Curtó,"SYSTEMS ITC Ibera SA, directora general de servicios",Testigo,Aceptado,Vox,NA
Rosa María Sans Margenent,"Generalitat, servicio de programación, jefa",Testigo,Aceptado,NA,Bassa
Rosa María Sans Travé,"Responsable RR HH, Artiplan",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Rosa Poch Sigüenza,NA,Testigo,Aceptado,NA,Sánchez
Rosa Vidal Planellas,"Generalitat, interventora general",Testigo,Aceptado,NA,"Mundó, Vila"
Ruben Pujol,Investigación privada,Perito,Aceptado,NA,Cuixart
Rubén Wagensberg,En Peu de Pau,Testigo,Aceptado,NA,"Junqueras, Romeva, Sánchez, Cuixart"
Santi Valls i Molina,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Santiago Guerra Ciriano,Testigo 1-O,Testigo,Aceptado,NA,Cuixart
Santiago Lubián,"Comisario Jefe, Policía Judicial, Barcelona",Testigo,Aceptado,"Fiscalía, Abogacía","Junqueras, Romeva, Forn"
Santiago Vidal Marsa,"Testigo directo, registros",Testigo,Aceptado,Vox,NA
Sara Izquierdo Pérez,"Funcionario, Hacienda, fondos públicos",Perito,Aceptado,Fiscalía,NA
Sara Molina Alonso,"Generalitat, justicia, jefa de servicio, contratación",Testigo,Aceptado,NA,Mundó
Saskia Saqsen,"Socióloga, Let Catalans Vote",Testigo,Rechazado,NA,Cuixart
Sebastián Martínez Farriols,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Sebastián Trapote,"Jefe Superior, Policía Nacional, Cataluña",Testigo,Aceptado,"Fiscalía, Abogacía","Junqueras, Romeva, Forn"
Sergi Guilloz Pichot,Ingeniero industrial,Perito,Rechazado,NA,Cuixart
Sergio Pla Simón,"Mossos, comisario jefe, región central",Testigo,Aceptado,NA,Forn
Silvia Carmona Belmonte,"Abogada, 1-O",Testigo,Aceptado,NA,Cuixart
Silvia Prats Cortés,"ANC, voluntaria",Testigo,Aceptado,NA,Cuixart
Silvia Sábat Zapater,"Testigo 20-S, Vicepresidencia, jefa de secretaría",Testigo,Aceptado,NA,"Junqueras, Romeva"
Soraya Saenz de Santamaría,"ex Vicepresidenta del Gobierno, PP",Testigo,Aceptado,Vox,NA
Teresa Guix Requejo,"Perceptora de fondos, Presidencia, Generalitat",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Teresa Hernández Guerra,"Funcionario, Hacienda, fondos públicos",Perito,Aceptado,Fiscalía,NA
Teresa Laplana,"Mossos, intendente, 20-S",Testigo,Aceptado,Vox,"Sánchez, Cuixart"
Teresa Prohias Ricart,"Directora, Servicios, Presidencia",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Teresa Vallverdú y Alborná,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Venanci Saborit Pascual,NA,Testigo,Aceptado,NA,Sánchez
Vicente Nos Ripollés,"Generalitat, experto tecnología",Testigo,Aceptado,"Fiscalía, Abogacía",NA
Victor Manuel Suñé Socias,NA,Testigo,Aceptado,NA,Sánchez
Virginia Martínez Martínez,NA,Testigo,Aceptado,NA,Sánchez
Wim Kok,"Portavoz, expertos electorales internacionales",Testigo,Aceptado,"Fiscalía, Abogacía",NA
X,"Comisario Jefe, Policía Nacional, Información",Testigo,Aceptado,"Fiscalía, Abogacía",NA
X,"Propietario, Hotel Guadí, Reus",Testigo,Aceptado,"Fiscalía, Abogacía",NA
X,"Propietario, Hotel Travé, Figueras",Testigo,Aceptado,"Fiscalía, Abogacía",NA
X,"Sargento, Guardia Civil, traductor",Perito,Aceptado,Fiscalía,NA
X,"Agente, Guardia Civil, análisis documentos",Perito,Aceptado,Fiscalía,NA
X,"Agente, Guardia Civil, análisis documentos",Perito,Aceptado,Fiscalía,NA
Xavier Barragan Calvo,"Unipost, director financiero",Testigo,Aceptado,Vox,Bassa
Xavier Curis,Doctor,Perito,Aceptado,NA,"Junqueras, Romeva"
Xavier Domenech,"Diputado, Congreso, Podem",Testigo,Aceptado,Vox,NA
Xavier Eritja Ciuró,Testigo 20-S,Testigo,Aceptado,NA,"Junqueras, Romeva"
Xavier Figuerola Sacasas,NA,Testigo,Aceptado,NA,Sánchez
Xavier Jamás i Pera,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
Xavier Lirios Aparisi,"Generalitat, gobernación, AA PP, abogado jefe",Testigo,Aceptado,NA,Borrás
Xavier Muro,"Secretario general, Parlament",Testigo,Aceptado,"Fiscalía, Abogacía","Junqueras, Romeva"
Xavier Pedrós Cortasa,"Fundació Marianao, Presidente",Testigo,Aceptado,NA,"Junqueras, Romeva"
Xavier Trias,Testigo 20-S,Testigo,Aceptado,NA,"Sánchez, Cuixart"
Xavier Virgo Teixidor,"Director, El Punt Avui",Testigo,Aceptado,"Fiscalía, Abogacía",Turull
Yolanda Guixens i Cobas,Testigo 1-O,Testigo,Aceptado,NA,"Junqueras, Romeva"
