"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"40363","Mediterranean","July 09, 2015","2015","Jul","9","","9","","1","8","","Drowning","Off the coast of Ben Guerdane, southern Tunisia","IOM Tunisia and The Local","31.653400000000, 31.289100000000","Central Mediterranean","http://bit.ly/1G6D5Em","Uncategorized","4"
"40538","Mediterranean","July 09, 2015","2015","Jul","12","","12","106","4","","","Drowning","About 40 miles north of Libya","IOM Italy, Reuters","37.779414000000, 26.353410000000","Central Mediterranean","http://reut.rs/1M3kAIt","Uncategorized","4"
"40928","US-Mexico Border","July 09, 2015","2015","Jul","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40361","Mediterranean","July 07, 2015","2015","Jul","3","15","18","19","","","","Drowning","Between the Greek islands of Farmakonisi and Agathonisi","IOM Greece - via Greek Authorities","37.351100000000, 27.037100000000","Eastern Mediterranean","http://bit.ly/1NRPfY7","Uncategorized","5"
"40362","US-Mexico Border","July 07, 2015","2015","Jul","1","","1","","","1","1","Drowning","Rio Grande, near recreation centre La Playita","La Prensa","26.034277400000, -98.331911200000","Central America to US","http://www.laprensa.mx/notas.asp?id=371404","Central America","1"
"40857","Europe","July 07, 2015","2015","Jul","1","","1","","","1","","Train Accident","French entrance to Channel Tunnel, France","BBC and The Guardian","50.914300000000, 1.800380000000","Calais to United Kingdom","http://bbc.in/1HalLjR, http://bit.ly/1TnlRvV","Western Europe","3"
"40797","North Africa","July 06, 2015","2015","Jul","1","","1","","","","","Starvation","Sudanese border with Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","16.121094000000, 32.310913000000","","","Northern Africa","2"
"41034","Central America","July 05, 2015","2015","Jul","2","","2","9","","","","Vehicle Accident","Highway near San Dionisio del Mar, San Francisco Ixhuatan, Istmo de Tehuantepec, Oaxaca, Mexico","El Universal","16.357811000000, -94.758468000000","Central America to US","http://eluni.mx/1ZEFSAj","Central America","1"
"41062","Central America","July 05, 2015","2015","Jul","2","","2","","","","","Vehicle Accident","General Hospital Ixtepec, Oaxaca, Mexico","El Heraldo Honduras","17.160265500000, -97.331239900000","Central America to US","http://bit.ly/2ftnGMy","Central America","1"
"40927","US-Mexico Border","July 04, 2015","2015","Jul","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40926","US-Mexico Border","July 02, 2015","2015","Jul","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"41006","Central America","July 02, 2015","2015","Jul","1","","1","","","1","","Unknown","in train car in Apizaco, Tlaxcala","Cinco Radio","19.421016000000, -98.142549000000","Central America to US","http://bit.ly/24Bl93O","Central America","1"
"40305","North Africa","July 01, 2015","2015","Jul","1","","1","","","","","Dehydration, Starvation","Between Ajdabiya and Tripoli, Libya","MHub","31.363666900000, 10.233956100000","","","Northern Africa","2"
"40585","North Africa","July 01, 2015","2015","Jul","1","","1","","","","","Exposure, Hyperthermia","Sahara Desert, between Hagas, Sudan and Shaidi, Libya","MHub","21.459778100000, 21.471366900000","","","Northern Africa","2"
"40665","North Africa","July 01, 2015","2015","Jul","2","","2","","","","","Murdered","Unspecified location, Libya","MHub","26.239989000000, 12.913084000000","","","Northern Africa","2"
"40667","North Africa","July 01, 2015","2015","Jul","1","","1","","","","","Murdered","Unspecified location, Libya","MHub","26.239989000000, 12.913084000000","","","Northern Africa","2"
"40719","North Africa","July 01, 2015","2015","Jul","2","","2","","","","","Sickness and lack of access to medicines","Unspecified location, Libya","MHub","26.239989000000, 12.913084000000","","","Northern Africa","2"
"40795","North Africa","July 01, 2015","2015","Jul","1","","1","","","","","Starvation","Unspecified location, Libya","MHub","26.239989000000, 12.913084000000","","","Northern Africa","2"
"40796","North Africa","July 01, 2015","2015","Jul","3","","3","","","","","Starvation","Unspecified location, Libya","MHub","26.239989000000, 12.913084000000","","","Northern Africa","2"
"40922","US-Mexico Border","July 01, 2015","2015","Jul","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40923","US-Mexico Border","July 01, 2015","2015","Jul","1","","1","","","","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
"40924","North Africa","July 01, 2015","2015","Jul","1","","1","","","","","Unknown","Unspecified location, Libya","MHub","26.239989000000, 12.913084000000","","","Northern Africa","2"
"40925","Sub-Saharan Africa","July 01, 2015","2015","Jul","3","","3","","","","","Unknown","Unspecified location, Niger","MHub","17.607789000000, 8.081666000000","","","Northern Africa","2"
"41069","North Africa","July 01, 2015","2015","Jul","3","","3","","","","","Vehicle Accident","Sahara Desert, between Khartoum, Sudan and Ajdabiya, Libya","MHub","19.545270100000, 21.922914300000","","","Northern Africa","2"
"41070","North Africa","July 01, 2015","2015","Jul","1","","1","","","","","Vehicle Accident","Sahara Desert, between Agadez, Niger and Sabha, Libya","MHub","19.075158000000, 8.024068000000","","","Northern Africa","2"
"40921","US-Mexico Border","June 30, 2015","2015","Jun","1","","1","","","1","","Unknown","Pima County jurisdiction","Pima County Office of the Medical Examiner","31.621437300000, -111.930093400000","Central America to US","","Northern America","5"
