id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,tags,replies,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,gif_url,gif_thumb,video_url,video_thumb,is_quote_status,quote_id,quote_url,is_reply_to,has_parent_tweet
1074066340435107841,1074066340435107841,1544912345000,2018-12-15,23:19:05,CET,203859908,toni80s,Toni80s,,¿Qué son los GAAR y qué preparan en Catalunya para el 21 de diciembre?  https://www.elperiodico.com/es/politica/20181214/gaar-catatalunya-cataluna-que-son-7201800?utm_source=twitter&utm_medium=social …,[],"[{'id': 203859908, 'id_str': '203859908', 'screen_name': 'Toni80S'}]",[],['https://www.elperiodico.com/es/politica/20181214/gaar-catatalunya-cataluna-que-son-7201800?utm_source=twitter&utm_medium=social'],[],0,0,0,,[],https://twitter.com/Toni80S/status/1074066340435107841,,,,,,0,0,,0,0
1074043894663446529,1074043894663446529,1544906993000,2018-12-15,21:49:53,CET,2511845443,andaypiensa,Chico Estrada,,"Supongo que el @interiorgob, la @guardiacivil y la @policia estarán al corriente de q los GAAR tienen un canal en Telegram? No abandonen a la ciudadanía pacífica. De los Mossos ya no se espera nadie.",[],"[{'id': 2511845443, 'id_str': '2511845443', 'screen_name': 'andaypiensa'}, {'id': 231000704, 'id_str': '231000704', 'screen_name': 'interiorgob'}, {'id': 295608887, 'id_str': '295608887', 'screen_name': 'guardiacivil'}, {'id': 23791197, 'id_str': '23791197', 'screen_name': 'policia'}]","['interiorgob', 'guardiacivil', 'policia']",[],[],1,0,0,,[],https://twitter.com/andaypiensa/status/1074043894663446529,,,,,,0,0,,0,0
1074039247819153408,1072546900778336257,1544905886000,2018-12-15,21:31:26,CET,125445901,creantrepublica,Clara III🎗,,"Colla de provocadors al servei d’Espanya. Això són els gaar, una invenció feta a mida d’allò que necessita l’estat espanyol.",[],"[{'id': 125445901, 'id_str': '125445901', 'screen_name': 'CreantRepublica'}, {'id': 1071483708463562755, 'id_str': '1071483708463562755', 'screen_name': 'GaarOlesa'}, {'id': 927532478323134465, 'id_str': '927532478323134465', 'screen_name': 'ValkyriaBrunhil'}]",[],[],[],1,1,2,,[],https://twitter.com/CreantRepublica/status/1074039247819153408,,,,,,0,0,,1,1
1074025510357872640,1073851865916497920,1544902610000,2018-12-15,20:36:50,CET,199888321,kokecabrera,Koke Cabrera 🎨🕺🏋️💪😎🤜,,😂😅😂 Los CDRs y los GAAR van a dar el espectáculo del siglo.🤩 #Lasilenciosacat #155YaCataluña #EleccionesYa pic.twitter.com/0sTciAqoJH,[],"[{'id': 199888321, 'id_str': '199888321', 'screen_name': 'kokecabrera'}, {'id': 2154312658, 'id_str': '2154312658', 'screen_name': 'piedradura0'}, {'id': 286252220, 'id_str': '286252220', 'screen_name': 'marinamar72'}, {'id': 299822965, 'id_str': '299822965', 'screen_name': 'MareSuperiora'}, {'id': 926833096397410304, 'id_str': '926833096397410304', 'screen_name': 'CDRCatOficial'}, {'id': 14274516, 'id_str': '14274516', 'screen_name': 'omnium'}, {'id': 256025198, 'id_str': '256025198', 'screen_name': 'assemblea'}]",[],[],[],0,0,0,,"['#lasilenciosacat', '#155yacataluña', '#eleccionesya']",https://twitter.com/kokecabrera/status/1074025510357872640,,https://video.twimg.com/tweet_video/Due0f4mWoAUt6ZL.mp4,https://pbs.twimg.com/tweet_video_thumb/Due0f4mWoAUt6ZL.jpg,,,0,0,,1,1
1074006910448345094,1074005179102584833,1544898176000,2018-12-15,19:22:56,CET,906488241595056133,garci_roser,Roser Piferrer Garci,,"La única realidad que vemos es que, tal y como avancé, en Diciembre habría movimientos, ayer el BCE certificando el final de compra de deuda, aparición de los GAAR, anuncios de vía eslovena, Puigdemont se empieza a mover, huelgas de hambre… No queda demasiado.",[],"[{'id': 906488241595056133, 'id_str': '906488241595056133', 'screen_name': 'garci_roser'}]",[],[],[],1,0,0,,[],https://twitter.com/garci_roser/status/1074006910448345094,,,,,,0,0,,1,1
1074005179102584833,1074005179102584833,1544897763000,2018-12-15,19:16:03,CET,906488241595056133,garci_roser,Roser Piferrer Garci,,"De Cataladigital. ...los medios unionistas han empezado a hablar de los GAAR como algo nuevo en Catalunya, pero no han hablado del por qué… Sólo de que son “radicales” (parece ser que el término radical se aplica, en España, a todo lo que no gusta o es del lado contrario…",[],"[{'id': 906488241595056133, 'id_str': '906488241595056133', 'screen_name': 'garci_roser'}]",[],[],[],1,0,1,,[],https://twitter.com/garci_roser/status/1074005179102584833,,,,,,0,0,,0,0
1073994154261266432,1073994154261266432,1544895134000,2018-12-15,18:32:14,CET,879047985623158785,ramona81501103,Ramona,,"Los GAAR, el nuevo problema de los Mossos: así actúa el grupo independentista que quiere paralizar Cataluña  https://goo.gl/QeoiB1 ",[],"[{'id': 879047985623158785, 'id_str': '879047985623158785', 'screen_name': 'Ramona81501103'}]",[],['https://goo.gl/QeoiB1'],[],0,0,0,,[],https://twitter.com/Ramona81501103/status/1073994154261266432,,,,,,0,0,,0,0
1073989635741749249,1073989635741749249,1544894057000,2018-12-15,18:14:17,CET,298067690,vcrespob,VcB (Beat In),,Mira que estoy metido en temas de independentismo y jamas a nadie había escuchado hablar de los gaar hasta que las televisiones del odio de las mil colinas del grupo @atresmediacom y la @laSextaTV lo sacaron en sus manipulaciones diarias.,[],"[{'id': 298067690, 'id_str': '298067690', 'screen_name': 'VcrespoB'}, {'id': 1245719822, 'id_str': '1245719822', 'screen_name': 'atresmediacom'}, {'id': 22954354, 'id_str': '22954354', 'screen_name': 'laSextaTV'}]","['atresmediacom', 'lasextatv']",[],[],0,0,0,,[],https://twitter.com/VcrespoB/status/1073989635741749249,,,,,,0,0,,0,0
1073978363021324290,1073978363021324290,1544891369000,2018-12-15,17:29:29,CET,76593802,caval100,Víctor Arrogante ✊,,De los CDR a los GAAR: quién está detrás del nuevo colectivo independentista que quiere boicotear el 21D @_infoLibre @JAlbertoMesas  http://www.multiforo.eu/Noticias/2018/Diciembre/Diciembre_15.htm … #15D #PensionistasEnLucha #CMBarcelona #EcologismoSocial #DerechosHumanos #ONU,[],"[{'id': 76593802, 'id_str': '76593802', 'screen_name': 'caval100'}, {'id': 603884167, 'id_str': '603884167', 'screen_name': '_infoLibre'}, {'id': 379166580, 'id_str': '379166580', 'screen_name': 'JAlbertoMesas'}]","['_infolibre', 'jalbertomesas']",['http://www.multiforo.eu/Noticias/2018/Diciembre/Diciembre_15.htm'],[],1,0,0,,"['#15d', '#pensionistasenlucha', '#cmbarcelona', '#ecologismosocial', '#derechoshumanos', '#onu']",https://twitter.com/caval100/status/1073978363021324290,,,,,,0,0,,0,0
1073963220841451520,1073939522386313217,1544887759000,2018-12-15,16:29:19,CET,803516053724786689,ruizdemorante,Enrique,,"Te las comes dobladas Bea, queréis muertes y preferiblemente que sean vuestros para haceros las victimas, lo que están preparando los CDR y los GAAR y compañía son partidas de parchís y ajedrez, despierta no te vendas si de verdad eres periodista y republicana, así no Bea así no",[],"[{'id': 803516053724786689, 'id_str': '803516053724786689', 'screen_name': 'ruizdemorante'}, {'id': 13346352, 'id_str': '13346352', 'screen_name': 'BeatrizTalegon'}]",[],[],[],0,0,1,,[],https://twitter.com/ruizdemorante/status/1073963220841451520,,,,,,0,0,,1,1
