Població. Per lloc de naixement sexe i edat.
Catalunya. 2012
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=201200
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;208852;195571;404423;2564;2455;5019;7319;6547;13866;218735;204573;423308
De 5 a 9 anys;185119;174058;359177;3378;3160;6538;18798;18747;37545;207295;195965;403260
De 10 a 14 anys;147223;138962;286185;2973;2768;5741;33245;31533;64778;183441;173263;356704
De 15 a 19 anys;133176;125894;259070;3147;3192;6339;40866;35672;76538;177189;164758;341947
De 20 a 24 anys;136428;127996;264424;5368;5928;11296;52939;54453;107392;194735;188377;383112
De 25 a 29 anys;154596;147142;301738;11392;13213;24605;82583;86334;168917;248571;246689;495260
De 30 a 34 anys;207750;197576;405326;17228;18883;36111;111267;99442;210709;336245;315901;652146
De 35 a 39 anys;234656;224051;458707;22865;23624;46489;104752;84711;189463;362273;332386;694659
De 40 a 44 anys;205878;199244;405122;33310;33413;66723;84485;67242;151727;323673;299899;623572
De 45 a 49 anys;177631;174253;351884;50101;52282;102383;60266;51936;112202;287998;278471;566469
De 50 a 54 anys;139760;141084;280844;70609;77571;148180;38872;36025;74897;249241;254680;503921
De 55 a 59 anys;108237;109353;217590;81623;89645;171268;23815;24341;48156;213675;223339;437014
De 60 a 64 anys;89657;93709;183366;89329;98126;187455;14408;16786;31194;193394;208621;402015
De 65 a 69 anys;72171;77748;149919;83774;94532;178306;8899;11508;20407;164844;183788;348632
De 70 a 74 anys;52194;60626;112820;64036;74414;138450;6300;8153;14453;122530;143193;265723
De 75 a 79 anys;57310;74657;131967;56325;76905;133230;3827;5183;9010;117462;156745;274207
De 80 a 84 anys;43457;66085;109542;35622;58376;93998;2494;3809;6303;81573;128270;209843
De 85 anys i més;32896;70157;103053;24357;56992;81349;1501;3213;4714;58754;130362;189116
Total;2386991;2398166;4785157;658001;785479;1443480;696636;645635;1342271;3741628;3829280;7570908

