Població. Per lloc de naixement sexe i edat.
Catalunya. 2000
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200000
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;134318;126139;260457;1597;1597;3194;2274;2149;4423;138189;129885;268074
De 5 a 9 anys;136642;129813;266455;3157;3137;6294;4589;4489;9078;144388;137439;281827
De 10 a 14 anys;143628;136333;279961;5350;5064;10414;6459;5956;12415;155437;147353;302790
De 15 a 19 anys;179529;170806;350335;7358;7262;14620;7073;6507;13580;193960;184575;378535
De 20 a 24 anys;238193;225812;464005;10974;11518;22492;8267;9115;17382;257434;246445;503879
De 25 a 29 anys;232321;221400;453721;21870;22529;44399;14199;14205;28404;268390;258134;526524
De 30 a 34 anys;201091;193818;394909;38553;39493;78046;20452;17099;37551;260096;250410;510506
De 35 a 39 anys;163597;161140;324737;61507;64842;126349;18670;15924;34594;243774;241906;485680
De 40 a 44 anys;131907;130883;262790;79207;85725;164932;13153;11233;24386;224267;227841;452108
De 45 a 49 anys;103306;102999;206305;90598;95211;185809;9535;8651;18186;203439;206861;410300
De 50 a 54 anys;92818;92868;185686;102637;106884;209521;6263;6626;12889;201718;206378;408096
De 55 a 59 anys;75576;77148;152724;92430;94167;186597;4615;5444;10059;172621;176759;349380
De 60 a 64 anys;61921;67008;128929;78675;83070;161745;3656;4211;7867;144252;154289;298541
De 65 a 69 anys;76606;87399;164005;72981;84649;157630;3317;4004;7321;152904;176052;328956
De 70 a 74 anys;67267;82962;150229;55352;71925;127277;2689;3466;6155;125308;158353;283661
De 75 a 79 anys;50668;71542;122210;38925;58373;97298;1709;2431;4140;91302;132346;223648
De 80 a 84 anys;25969;46749;72718;20162;38277;58439;767;1677;2444;46898;86703;133601
De 85 anys i més;20240;44726;64966;13367;35384;48751;644;1532;2176;34251;81642;115893
Total;2135597;2169545;4305142;794700;909107;1703807;128331;124719;253050;3058628;3203371;6261999

