Població. Per lloc de naixement sexe i edat.
Catalunya. 2014
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=201400
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;196163;184568;380731;2352;2221;4573;5496;5000;10496;204011;191789;395800
De 5 a 9 anys;197290;186114;383404;3741;3494;7235;14263;13910;28173;215294;203518;418812
De 10 a 14 anys;159082;150268;309350;3226;2972;6198;28179;27047;55226;190487;180287;370774
De 15 a 19 anys;133996;125824;259820;2989;2946;5935;39499;34737;74236;176484;163507;339991
De 20 a 24 anys;134414;126665;261079;4347;4805;9152;48019;48233;96252;186780;179703;366483
De 25 a 29 anys;142111;134286;276397;10087;11676;21763;66659;76263;142922;218857;222225;441082
De 30 a 34 anys;181066;172417;353483;15561;17551;33112;94618;94211;188829;291245;284179;575424
De 35 a 39 anys;232556;222039;454595;20676;21373;42049;101773;88008;189781;355005;331420;686425
De 40 a 44 anys;215122;207409;422531;28648;28773;57421;84995;70860;155855;328765;307042;635807
De 45 a 49 anys;191038;186676;377714;41950;43283;85233;63761;55412;119173;296749;285371;582120
De 50 a 54 anys;150178;150925;301103;61746;67439;129185;42621;40467;83088;254545;258831;513376
De 55 a 59 anys;119075;121117;240192;75658;84226;159884;26720;27194;53914;221453;232537;453990
De 60 a 64 anys;92944;96733;189677;84419;93303;177722;15921;18216;34137;193284;208252;401536
De 65 a 69 anys;79614;85881;165495;87109;99643;186752;9860;12661;22521;176583;198185;374768
De 70 a 74 anys;55498;63277;118775;67503;78754;146257;6594;8702;15296;129595;150733;280328
De 75 a 79 anys;51269;66481;117750;56254;74407;130661;3887;5440;9327;111410;146328;257738
De 80 a 84 anys;44898;67226;112124;39397;62568;101965;2513;3888;6401;86808;133682;220490
De 85 anys i més;35882;74930;110812;26865;61281;88146;1638;3363;5001;64385;139574;203959
Total;2412196;2422836;4835032;632528;760715;1393243;657016;633612;1290628;3701740;3817163;7518903

