Població. Per lloc de naixement sexe i edat.
Catalunya. 2016
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=201600
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;182890;172574;355464;2408;2223;4631;5744;5395;11139;191042;180192;371234
De 5 a 9 anys;200921;188521;389442;4059;3970;8029;11905;11107;23012;216885;203598;420483
De 10 a 14 anys;172881;162923;335804;3582;3356;6938;23105;22490;45595;199568;188769;388337
De 15 a 19 anys;140735;132385;273120;3062;2877;5939;38988;34944;73932;182785;170206;352991
De 20 a 24 anys;132056;125082;257138;4209;4586;8795;48911;48245;97156;185176;177913;363089
De 25 a 29 anys;134788;126597;261385;9461;10995;20456;61562;71261;132823;205811;208853;414664
De 30 a 34 anys;159769;151836;311605;15158;16753;31911;82114;87728;169842;257041;256317;513358
De 35 a 39 anys;215361;205751;421112;19548;20569;40117;98134;90550;188684;333043;316870;649913
De 40 a 44 anys;228211;218408;446619;24530;24696;49226;86642;75063;161705;339383;318167;657550
De 45 a 49 anys;198014;193338;391352;35263;35779;71042;68663;60093;128756;301940;289210;591150
De 50 a 54 anys;165370;164836;330206;53325;57058;110383;47848;45729;93577;266543;267623;534166
De 55 a 59 anys;130542;133286;263828;70857;79351;150208;30493;31188;61681;231892;243825;475717
De 60 a 64 anys;99038;102849;201887;79885;89622;169507;18481;20792;39273;197404;213263;410667
De 65 a 69 anys;83039;89790;172829;83292;95783;179075;11586;14700;26286;177917;200273;378190
De 70 a 74 anys;63045;71748;134793;73366;87266;160632;6928;9453;16381;143339;168467;311806
De 75 a 79 anys;46364;59000;105364;56368;72196;128564;4551;6441;10992;107283;137637;244920
De 80 a 84 anys;44786;65602;110388;42118;64855;106973;2518;3856;6374;89422;134313;223735
De 85 anys i més;38882;79769;118651;30135;66152;96287;1877;3811;5688;70894;149732;220626
Total;2436692;2444295;4880987;610626;738087;1348713;650050;642846;1292896;3697368;3825228;7522596

