Població. Per lloc de naixement sexe i edat.
Catalunya. 2018
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=201800
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;172078;162256;334334;2350;2131;4481;7826;7428;15254;182254;171815;354069
De 5 a 9 anys;196025;184429;380454;4170;4081;8251;12713;11758;24471;212908;200268;413176
De 10 a 14 anys;185944;175224;361168;4186;3849;8035;20628;20058;40686;210758;199131;409889
De 15 a 19 anys;149718;141356;291074;3215;3152;6367;39048;34815;73863;191981;179323;371304
De 20 a 24 anys;131344;123823;255167;4117;4491;8608;54371;53264;107635;189832;181578;371410
De 25 a 29 anys;132400;123988;256388;9229;10827;20056;68137;75244;143381;209766;210059;419825
De 30 a 34 anys;143192;136056;279248;15026;16262;31288;79070;88455;167525;237288;240773;478061
De 35 a 39 anys;191211;182635;373846;18344;19320;37664;95846;94698;190544;305401;296653;602054
De 40 a 44 anys;231099;221783;452882;22341;22395;44736;91593;82814;174407;345033;326992;672025
De 45 a 49 anys;206299;200383;406682;30369;30547;60916;74708;67247;141955;311376;298177;609553
De 50 a 54 anys;181578;179429;361007;44708;46999;91707;54027;51939;105966;280313;278367;558680
De 55 a 59 anys;140614;143750;284364;63819;71117;134936;35437;36901;72338;239870;251768;491638
De 60 a 64 anys;108369;112492;220861;74557;84790;159347;22021;24731;46752;204947;222013;426960
De 65 a 69 anys;86048;93388;179436;81246;94084;175330;13784;17098;30882;181078;204570;385648
De 70 a 74 anys;69818;78974;148792;77359;93511;170870;8099;11131;19230;155276;183616;338892
De 75 a 79 anys;44607;55393;100000;54903;68937;123840;5142;7433;12575;104652;131763;236415
De 80 a 84 anys;43479;63006;106485;44323;66648;110971;2686;4221;6907;90488;133875;224363
De 85 anys i més;41787;84013;125800;33209;70745;103954;2109;4240;6349;77105;158998;236103
Total;2455610;2462378;4917988;587471;713886;1301357;687245;693475;1380720;3730326;3869739;7600065

