Població. Per lloc de naixement sexe i edat.
Catalunya. 2007
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200700
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;188180;175077;363257;2311;2240;4551;9235;10003;19238;199726;187320;387046
De 5 a 9 anys;149596;140833;290429;3065;2866;5931;22717;22064;44781;175378;165763;341141
De 10 a 14 anys;134967;127367;262334;3299;3340;6639;25781;23974;49755;164047;154681;318728
De 15 a 19 anys;138828;130363;269191;4724;4578;9302;29621;27174;56795;173173;162115;335288
De 20 a 24 anys;158793;150902;309695;8191;8698;16889;51758;51304;103062;218742;210904;429646
De 25 a 29 anys;213036;201330;414366;14177;15680;29857;91857;77817;169674;319070;294827;613897
De 30 a 34 anys;239571;226766;466337;22495;23108;45603;97148;72669;169817;359214;322543;681757
De 35 a 39 anys;209484;201067;410551;34292;34175;68467;81004;58515;139519;324780;293757;618537
De 40 a 44 anys;180719;175869;356588;51793;53274;105067;59328;46194;105522;291840;275337;567177
De 45 a 49 anys;143198;142633;285831;73163;78878;152041;38970;32299;71269;255331;253810;509141
De 50 a 54 anys;111549;110871;222420;85109;91409;176518;24285;22348;46633;220943;224628;445571
De 55 a 59 anys;93625;95472;189097;94640;100567;195207;14400;15504;29904;202665;211543;414208
De 60 a 64 anys;76848;79631;156479;90980;97503;188483;8803;10978;19781;176631;188112;364743
De 65 a 69 anys;57590;63161;120751;71674;77612;149286;6633;8248;14881;135897;149021;284918
De 70 a 74 anys;67179;80356;147535;66865;83000;149865;4436;5534;9970;138480;168890;307370
De 75 a 79 anys;57343;76772;134115;47749;68441;116190;3213;4512;7725;108305;149725;258030
De 80 a 84 anys;39254;62466;101720;30004;51740;81744;1724;2799;4523;70982;117005;187987
De 85 anys i més;24183;55258;79441;17841;44820;62661;948;2273;3221;42972;102351;145323
Total;2283943;2296194;4580137;722372;841929;1564301;571861;494209;1066070;3578176;3632332;7210508

