Població. Per lloc de naixement sexe i edat.
Catalunya. 2010
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=201000
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;208931;194856;403787;2517;2379;4896;8299;8138;16437;219747;205373;425120
De 5 a 9 anys;170008;160390;330398;3243;2966;6209;22600;22707;45307;195851;186063;381914
De 10 a 14 anys;138322;129854;268176;2968;2867;5835;34197;31708;65905;175487;164429;339916
De 15 a 19 anys;135187;128024;263211;3549;3593;7142;38325;34009;72334;177061;165626;342687
De 20 a 24 anys;141740;133758;275498;6462;6993;13455;57391;58696;116087;205593;199447;405040
De 25 a 29 anys;173974;165374;339348;11965;13841;25806;97289;91668;188957;283228;270883;554111
De 30 a 34 anys;229547;218187;447734;18643;20123;38766;116644;95393;212037;364834;333703;698537
De 35 a 39 anys;225857;216006;441863;26550;26804;53354;101434;77375;178809;353841;320185;674026
De 40 a 44 anys;197458;191582;389040;38979;39611;78590;77794;60498;138292;314231;291691;605922
De 45 a 49 anys;161300;159778;321078;59845;63675;123520;53663;45154;98817;274808;268607;543415
De 50 a 54 anys;129017;129376;258393;76319;83641;159960;33935;30703;64638;239271;243720;482991
De 55 a 59 anys;99414;101327;200741;85598;92413;178011;20006;20801;40807;205018;214541;419559
De 60 a 64 anys;87294;90557;177851;93617;102184;195801;12016;14312;26328;192927;207053;399980
De 65 a 69 anys;68800;74520;143320;80152;88784;168936;8155;10348;18503;157107;173652;330759
De 70 a 74 anys;52377;62540;114917;63418;76083;139501;5617;7129;12746;121412;145752;267164
De 75 a 79 anys;58289;77049;135338;53155;73920;127075;3685;5034;8719;115129;156003;271132
De 80 a 84 anys;41613;64478;106091;32915;55046;87961;2166;3390;5556;76694;122914;199608
De 85 anys i més;29394;63733;93127;21566;51719;73285;1316;2772;4088;52276;118224;170500
Total;2348522;2361389;4709911;681461;806642;1488103;694532;619835;1314367;3724515;3787866;7512381

