Població. Per lloc de naixement sexe i edat.
Catalunya. 2013
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=201300
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;204180;192093;396273;2492;2362;4854;6292;5762;12054;212964;200217;413181
De 5 a 9 anys;191424;180429;371853;3550;3216;6766;16425;16295;32720;211399;199940;411339
De 10 a 14 anys;152151;143651;295802;3055;2854;5909;31166;29470;60636;186372;175975;362347
De 15 a 19 anys;132783;125364;258147;3097;3012;6109;40543;35621;76164;176423;163997;340420
De 20 a 24 anys;135817;127746;263563;4723;5256;9979;50354;51409;101763;190894;184411;375305
De 25 a 29 anys;147157;139539;286696;10582;12393;22975;74397;81598;155995;232136;233530;465666
De 30 a 34 anys;194878;185265;380143;16223;18040;34263;103946;98390;202336;315047;301695;616742
De 35 a 39 anys;234682;224113;458795;21589;22308;43897;103965;87028;190993;360236;333449;693685
De 40 a 44 anys;209651;202385;412036;30777;30965;61742;85939;69874;155813;326367;303224;629591
De 45 a 49 anys;185344;181519;366863;45834;47791;93625;61996;53910;115906;293174;283220;576394
De 50 a 54 anys;144935;145956;290891;66275;72481;138756;41147;38393;79540;252357;256830;509187
De 55 a 59 anys;113305;114812;228117;78653;86975;165628;25213;25936;51149;217171;227723;444894
De 60 a 64 anys;91664;95819;187483;88065;97226;185291;15363;17739;33102;195092;210784;405876
De 65 a 69 anys;76344;82106;158450;85713;97500;183213;9456;12202;21658;171513;191808;363321
De 70 a 74 anys;51254;59135;110389;63974;73968;137942;6608;8615;15223;121836;141718;263554
De 75 a 79 anys;55636;71998;127634;57256;77051;134307;3910;5273;9183;116802;154322;271124
De 80 a 84 anys;44313;66924;111237;37396;60398;97794;2567;3933;6500;84276;131255;215531
De 85 anys i més;34283;72155;106438;25372;58755;84127;1604;3324;4928;61259;134234;195493
Total;2399801;2411009;4810810;644626;772551;1417177;680891;644772;1325663;3725318;3828332;7553650

