word,n,p,username,rank
burgos,94,1.9441571871768357,estherpcamarero,1
vic,98,2.7566807313642756,anna_erra,1
navarra,112,2.565277141548328,abeltran_ana,1
avui,10,1.6051364365971106,rafelbruguera,1
–,49,0.9873060648801129,nuriapicas,1
cáceres,132,1.2795657231485071,cesarjramos,1
catalunya,108,0.8967865149879598,nuet,1
govern,149,1.03919654066118,ciddavid,1
gobierno,166,0.6537234670972315,juralde,1
cantabria,236,4.5985970381917385,josemariamazon,1
avui,18,1.3750954927425516,lauralopezd,1
vox,267,1.1434689507494646,ivanedlm,1
➡,24808,3.2992520560479197,larazon_es,1
vox,86,0.8842278428953321,edelvallerod,1
españa,36,0.9518773135906927,javizqui,1
votapsoe,64,0.8792416540733616,pilicancela,1
eta,193,3.733797639775585,mertxeaizpurua,1
🇪🇸,16,0.9291521486643438,educarazo,1
avui,207,1.1536532352449422,mfornells,1
españa,320,2.2084195997239475,fjosealcaraz,1
sevilla,28,1.0412792859799183,paucambronerocs,1
gràcies,85,0.9858501507770819,toni_comin,1
cuenca,30,4.310344827586207,linuesita,1
votapsoe,37,1.511437908496732,evabravobarco,1
pensamiento,4859,0.8465540250952133,cronicaglobal,1
gente,39,0.8162411050648808,c19concepcion,1
españa,22,1.5965166908563133,pcalvoliste,1
lomásleído,3732,0.8451622838404609,europapress,1
do,156,2.987361164304864,nestorrego,1
portada,34,1.7480719794344475,albertocasero,1
avui,155,0.42290796976890127,trinitro,1
esperem,136,1.7742987606001304,joantarda,1
confidencial,1327,1.1865482800861968,enoticiescat,1
catalunya,17,0.6708760852407262,marclamua,1
europa,211,1.2544589774078478,fjavilopez,1
gobierno,122,0.9323653037829576,meritxell_batet,1
editorial,607,1.042722415955199,miqueliceta,1
cataluña,11,2.263374485596708,aespice,1
lleida,28,1.0043041606886656,montseminguez,1
derechos,188,1.05612044267176,pablo_iglesias_,1
cataluña,104,1.102629346904156,alejandrotgn,1
gobierno,50,1.161710037174721,hectorgomezh,1
gobierno,62,1.0012919896640826,gagupilar,1
avui,78,0.726866088901314,vidalaragones,1
ripoll,408,6.251915415262029,jordimunell,1
gobierno,37,2.045328911000553,montimar66,1
psoe,367,0.7887045474082353,pmklose,1
españa,45,0.823271130625686,diegogagob,1
gobierno,161,0.8720615317950384,beatrizcorredor,1
👇🏽,133,1.5127388535031847,susanabeltranga,1
❌,198,1.0020750037957387,soniasierra02,1
derechos,22,1.0956175298804782,alber_canarias,1
segovia,77,1.325529351007058,jlaceves,1
enhorabuena,4,3.2,jcduran_,1
españa,167,1.8690542809177393,lozanoirene,1
–,91,1.3175039814680758,capdevilajoan,1
