Població. Per lloc de naixement sexe i edat.
Catalunya. 2008
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200800
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;196704;183211;379915;2478;2212;4690;9581;10102;19683;208763;195525;404288
De 5 a 9 anys;154761;145607;300368;2991;2844;5835;24064;23757;47821;181816;172208;354024
De 10 a 14 anys;134723;126891;261614;3281;3149;6430;29915;27680;57595;167919;157720;325639
De 15 a 19 anys;138014;129996;268010;4181;4212;8393;33866;30860;64726;176061;165068;341129
De 20 a 24 anys;151139;143220;294359;7747;8096;15843;59133;57415;116548;218019;208731;426750
De 25 a 29 anys;199909;188994;388903;13156;14969;28125;102023;86969;188992;315088;290932;606020
De 30 a 34 anys;239568;226996;466564;21013;21769;42782;109992;82894;192886;370573;331659;702232
De 35 a 39 anys;213449;204600;418049;31539;31575;63114;92717;66842;159559;337705;303017;640722
De 40 a 44 anys;188620;183293;371913;47274;48526;95800;67575;51965;119540;303469;283784;587253
De 45 a 49 anys;148467;147691;296158;68487;73725;142212;45431;37186;82617;262385;258602;520987
De 50 a 54 anys;116781;116370;233151;81977;88593;170570;28314;25711;54025;227072;230674;457746
De 55 a 59 anys;95716;97754;193470;92927;99425;192352;16641;17604;34245;205284;214783;420067
De 60 a 64 anys;81253;84142;165395;93013;100356;193369;10092;12410;22502;184358;196908;381266
De 65 a 69 anys;56326;61570;117896;71227;77187;148414;7423;9105;16528;134976;147862;282838
De 70 a 74 anys;65135;77477;142612;67771;82879;150650;4753;5956;10709;137659;166312;303971
De 75 a 79 anys;58136;77423;135559;49705;70526;120231;3458;4813;8271;111299;152762;264061
De 80 a 84 anys;40352;63375;103727;30464;52249;82713;1902;3045;4947;72718;118669;191387
De 85 anys i més;25687;57981;83668;19088;47425;66513;1089;2428;3517;45864;107834;153698
Total;2304740;2316591;4621331;708319;829717;1538036;647969;556742;1204711;3661028;3703050;7364078

