Població. Per lloc de naixement sexe i edat.
Catalunya. 2017
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=201700
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;177527;167369;344896;2358;2237;4595;6709;6314;13023;186594;175920;362514
De 5 a 9 anys;199225;187317;386542;4154;4055;8209;11977;10964;22941;215356;202336;417692
De 10 a 14 anys;179814;169349;349163;3871;3585;7456;21725;21191;42916;205410;194125;399535
De 15 a 19 anys;144860;136815;281675;3106;3000;6106;38741;35041;73782;186707;174856;361563
De 20 a 24 anys;131517;124235;255752;4099;4464;8563;51685;50321;102006;187301;179020;366321
De 25 a 29 anys;133049;124325;257374;9149;10621;19770;64284;73174;137458;206482;208120;414602
De 30 a 34 anys;150290;143431;293721;15017;16462;31479;79609;88033;167642;244916;247926;492842
De 35 a 39 anys;203840;194518;398358;18891;19816;38707;96946;92536;189482;319677;306870;626547
De 40 a 44 anys;230569;221248;451817;23259;23508;46767;88962;78815;167777;342790;323571;666361
De 45 a 49 anys;202303;196982;399285;32625;32940;65565;71213;63303;134516;306141;293225;599366
De 50 a 54 anys;173826;172061;345887;48684;51546;100230;51098;48904;100002;273608;272511;546119
De 55 a 59 anys;135421;138884;274305;68103;76060;144163;32567;33649;66216;236091;248593;484684
De 60 a 64 anys;103528;107216;210744;77279;87419;164698;20220;22748;42968;201027;217383;418410
De 65 a 69 anys;84195;91345;175540;82649;95279;177928;12477;15751;28228;179321;202375;381696
De 70 a 74 anys;65873;74691;140564;75808;90840;166648;7424;10229;17653;149105;175760;324865
De 75 a 79 anys;45203;56683;101886;54862;69232;124094;4798;6872;11670;104863;132787;237650
De 80 a 84 anys;44774;65051;109825;43460;66520;109980;2614;4026;6640;90848;135597;226445
De 85 anys i més;40377;82171;122548;31595;68451;100046;1991;4033;6024;73963;154655;228618
Total;2446191;2453691;4899882;598969;726035;1325004;665040;665904;1330944;3710200;3845630;7555830

