Població. Per lloc de naixement sexe i edat.
Catalunya. 2006
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200600
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;181589;169376;350965;2335;2192;4527;9138;9811;18949;193062;181379;374441
De 5 a 9 anys;145156;136197;281353;3090;2890;5980;21828;20835;42663;170074;159922;329996
De 10 a 14 anys;135657;128456;264113;3478;3488;6966;23489;21746;45235;162624;153690;316314
De 15 a 19 anys;140812;132641;273453;5257;5002;10259;27064;25027;52091;173133;162670;335803
De 20 a 24 anys;168483;159726;328209;8647;9237;17884;50382;47496;97878;227512;216459;443971
De 25 a 29 anys;224985;212653;437638;15042;16544;31586;90624;72895;163519;330651;302092;632743
De 30 a 34 anys;236818;223965;460783;24269;24501;48770;93025;66736;159761;354112;315202;669314
De 35 a 39 anys;205082;197521;402603;37199;37274;74473;76628;53749;130377;318909;288544;607453
De 40 a 44 anys;172081;168396;340477;56741;59088;115829;54680;42052;96732;283502;269536;553038
De 45 a 49 anys;137936;136901;274837;76170;82416;158586;36043;29088;65131;250149;248405;498554
De 50 a 54 anys;106728;106400;213128;87928;93727;181655;21603;20052;41655;216259;220179;436438
De 55 a 59 anys;92471;93770;186241;95675;101465;197140;12980;14358;27338;201126;209593;410719
De 60 a 64 anys;73443;76389;149832;88431;93777;182208;8157;10197;18354;170031;180363;350394
De 65 a 69 anys;59715;66169;125884;74378;81695;156073;6273;7904;14177;140366;155768;296134
De 70 a 74 anys;67598;81278;148876;65380;80998;146378;4295;5556;9851;137273;167832;305105
De 75 a 79 anys;56711;76451;133162;46433;67425;113858;3089;4450;7539;106233;148326;254559
De 80 a 84 anys;38304;60872;99176;28654;49706;78360;1646;2661;4307;68604;113239;181843
De 85 anys i més;22446;52560;75006;16731;42977;59708;909;2255;3164;40086;97792;137878
Total;2266015;2279721;4545736;735838;854402;1590240;541853;456868;998721;3543706;3590991;7134697

