Població. Per lloc de naixement sexe i edat.
Catalunya. 2015
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=201500
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;189324;178281;367605;2367;2228;4595;5363;4944;10307;197054;185453;382507
De 5 a 9 anys;200023;187873;387896;3943;3717;7660;12658;12041;24699;216624;203631;420255
De 10 a 14 anys;166288;157042;323330;3403;3117;6520;25352;24752;50104;195043;184911;379954
De 15 a 19 anys;136235;128007;264242;2996;2881;5877;39141;34763;73904;178372;165651;344023
De 20 a 24 anys;133228;125943;259171;4262;4630;8892;47632;47101;94733;185122;177674;362796
De 25 a 29 anys;138071;130060;268131;9699;11336;21035;62686;72393;135079;210456;213789;424245
De 30 a 34 anys;169410;161477;330887;15299;17177;32476;87103;91040;178143;271812;269694;541506
De 35 a 39 anys;225456;215014;440470;20132;20846;40978;99158;89137;188295;344746;324997;669743
De 40 a 44 anys;221986;213365;435351;26350;26458;52808;85503;72699;158202;333839;312522;646361
De 45 a 49 anys;194080;189525;383605;37884;38954;76838;65254;57486;122740;297218;285965;583183
De 50 a 54 anys;157657;157707;315364;58156;62788;120944;45100;42862;87962;260913;263357;524270
De 55 a 59 anys;125036;127405;252441;73317;82055;155372;28237;28784;57021;226590;238244;464834
De 60 a 64 anys;95310;99322;194632;81189;90415;171604;17086;19490;36576;193585;209227;402812
De 65 a 69 anys;82133;88316;170449;86806;99261;186067;10557;13525;24082;179496;201102;380598
De 70 a 74 anys;62648;71619;134267;72350;85258;157608;6811;9080;15891;141809;165957;307766
De 75 a 79 anys;44739;58069;102808;54050;70689;124739;4184;5995;10179;102973;134753;237726
De 80 a 84 anys;45203;66998;112201;40726;63902;104628;2560;3924;6484;88489;134824;223313
De 85 anys i més;37325;77380;114705;28563;63726;92289;1716;3504;5220;67604;144610;212214
Total;2424152;2433403;4857555;621492;749438;1370930;646101;633520;1279621;3691745;3816361;7508106

