Població. Per lloc de naixement sexe i edat.
Catalunya. 2001
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200100
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;141198;132818;274016;1652;1612;3264;3385;3257;6642;146235;137687;283922
De 5 a 9 anys;135725;129021;264746;3086;3041;6127;6182;5946;12128;144993;138008;283001
De 10 a 14 anys;140437;132895;273332;4982;4674;9656;8036;7391;15427;153455;144960;298415
De 15 a 19 anys;169593;161091;330684;7210;6983;14193;9299;8432;17731;186102;176506;362608
De 20 a 24 anys;227883;216313;444196;10397;11081;21478;14683;13561;28244;252963;240955;493918
De 25 a 29 anys;239198;226923;466121;19612;20181;39793;23363;20242;43605;282173;267346;549519
De 30 a 34 anys;205728;198157;403885;35728;36065;71793;28504;22066;50570;269960;256288;526248
De 35 a 39 anys;171953;168448;340401;56779;59079;115858;25274;20771;46045;254006;248298;502304
De 40 a 44 anys;137957;137033;274990;76728;82907;159635;17599;14682;32281;232284;234622;466906
De 45 a 49 anys;107607;106719;214326;89377;94626;184003;11965;10581;22546;208949;211926;420875
De 50 a 54 anys;94006;94358;188364;98699;103053;201752;7890;8052;15942;200595;205463;406058
De 55 a 59 anys;75756;77307;153063;93303;96000;189303;5229;6136;11365;174288;179443;353731
De 60 a 64 anys;63309;67568;130877;81349;84670;166019;4232;4965;9197;148890;157203;306093
De 65 a 69 anys;74914;85155;160069;74408;85442;159850;3463;4132;7595;152785;174729;327514
De 70 a 74 anys;67981;83635;151616;56939;74052;130991;3002;3866;6868;127922;161553;289475
De 75 a 79 anys;53100;73095;126195;40297;59748;100045;1927;2724;4651;95324;135567;230891
De 80 a 84 anys;27004;49233;76237;21204;39997;61201;896;1784;2680;49104;91014;140118
De 85 anys i més;20616;46082;66698;13997;36729;50726;695;1650;2345;35308;84461;119769
Total;2153965;2185851;4339816;785747;899940;1685687;175624;160238;335862;3115336;3246029;6361365

