Població. Per lloc de naixement sexe i edat.
Catalunya. 2011
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=201100
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;210564;196493;407057;2533;2457;4990;7828;7329;15157;220925;206279;427204
De 5 a 9 anys;177334;167055;344389;3284;3027;6311;20553;20469;41022;201171;190551;391722
De 10 a 14 anys;142887;134389;277276;2991;2748;5739;34102;31787;65889;179980;168924;348904
De 15 a 19 anys;133864;126891;260755;3285;3381;6666;39380;34773;74153;176529;165045;341574
De 20 a 24 anys;138435;130256;268691;6039;6425;12464;54001;55968;109969;198475;192649;391124
De 25 a 29 anys;164039;155731;319770;11849;13670;25519;88900;87977;176877;264788;257378;522166
De 30 a 34 anys;219317;208854;428171;17942;19769;37711;114457;97793;212250;351716;326416;678132
De 35 a 39 anys;231926;221099;453025;24369;24784;49153;102421;80681;183102;358716;326564;685280
De 40 a 44 anys;201514;195529;397043;36144;36250;72394;81315;63660;144975;318973;295439;614412
De 45 a 49 anys;169054;166872;335926;54840;57835;112675;56603;48548;105151;280497;273255;553752
De 50 a 54 anys;134689;135381;270070;73454;80887;154341;36553;33264;69817;244696;249532;494228
De 55 a 59 anys;103390;104872;208262;84220;91681;175901;21753;22213;43966;209363;218766;428129
De 60 a 64 anys;88382;91965;180347;89822;98627;188449;13202;15534;28736;191406;206126;397532
De 65 a 69 anys;69050;74655;143705;80952;90633;171585;8241;10625;18866;158243;175913;334156
De 70 a 74 anys;53861;63366;117227;65971;77594;143565;5991;7709;13700;125823;148669;274492
De 75 a 79 anys;57587;75384;132971;54655;74973;129628;3678;4981;8659;115920;155338;271258
De 80 a 84 anys;42781;65601;108382;34364;57161;91525;2335;3648;5983;79480;126410;205890
De 85 anys i més;31156;67087;98243;22920;54097;77017;1419;2984;4403;55495;124168;179663
Total;2369830;2381480;4751310;669634;795999;1465633;692732;629943;1322675;3732196;3807422;7539618

