Població. Per lloc de naixement sexe i edat.
Catalunya. 2009
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200900
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;203850;190596;394446;2472;2252;4724;9267;9488;18755;215589;202336;417925
De 5 a 9 anys;161863;152791;314654;3138;2882;6020;24440;24251;48691;189441;179924;369365
De 10 a 14 anys;135702;127366;263068;3015;2984;5999;32928;30566;63494;171645;160916;332561
De 15 a 19 anys;136484;128776;265260;3820;3870;7690;37138;33357;70495;177442;166003;343445
De 20 a 24 anys;145898;137953;283851;7096;7547;14643;61454;60709;122163;214448;206209;420657
De 25 a 29 anys;185650;176278;361928;12406;14269;26675;105117;92677;197794;303173;283224;586397
De 30 a 34 anys;236963;224959;461922;19703;20719;40422;118393;91748;210141;375059;337426;712485
De 35 a 39 anys;218773;209913;428686;29033;29158;58191;99504;73505;173009;347310;312576;659886
De 40 a 44 anys;194330;188595;382925;43106;44057;87163;74637;57102;131739;312073;289754;601827
De 45 a 49 anys;153684;152891;306575;63649;68488;132137;50299;41828;92127;267632;263207;530839
De 50 a 54 anys;122769;122948;245717;78837;85915;164752;31701;28611;60312;233307;237474;470781
De 55 a 59 anys;96961;98659;195620;88941;95437;184378;18404;19327;37731;204306;213423;417729
De 60 a 64 anys;84727;88133;172860;94098;102497;196595;11112;13437;24549;189937;204067;394004
De 65 a 69 anys;60898;65779;126677;74856;82131;156987;7917;9826;17743;143671;157736;301407
De 70 a 74 anys;59899;71493;131392;66235;80141;146376;5147;6510;11657;131281;158144;289425
De 75 a 79 anys;58319;77568;135887;51852;72572;124424;3584;4943;8527;113755;155083;268838
De 80 a 84 anys;40975;64146;105121;31777;54041;85818;2052;3261;5313;74804;121448;196252
De 85 anys i més;27419;60667;88086;20283;49478;69761;1190;2560;3750;48892;112705;161597
Total;2325164;2339511;4664675;694317;818438;1512755;694284;603706;1297990;3713765;3761655;7475420

