Població. Per lloc de naixement sexe i edat.
Catalunya. 2002
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200200
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;148193;139654;287847;1834;1718;3552;5279;5143;10422;155306;146515;301821
De 5 a 9 anys;135597;128201;263798;3088;3036;6124;9194;8708;17902;147879;139945;287824
De 10 a 14 anys;139140;130980;270120;4526;4318;8844;10647;9841;20488;154313;145139;299452
De 15 a 19 anys;160190;152644;312834;6985;6755;13740;12418;11310;23728;179593;170709;350302
De 20 a 24 anys;216963;204927;421890;9987;10560;20547;24008;20719;44727;250958;236206;487164
De 25 a 29 anys;243322;230402;473724;18148;18921;37069;37632;29500;67132;299102;278823;577925
De 30 a 34 anys;211339;202424;413763;33154;33282;66436;40751;30142;70893;285244;265848;551092
De 35 a 39 anys;181717;176190;357907;52254;53697;105951;35213;27114;62327;269184;257001;526185
De 40 a 44 anys;143895;142888;286783;74197;79664;153861;24001;19280;43281;242093;241832;483925
De 45 a 49 anys;112931;111392;224323;87076;92532;179608;15994;13572;29566;216001;217496;433497
De 50 a 54 anys;95627;96083;191710;98127;102411;200538;10034;9894;19928;203788;208388;412176
De 55 a 59 anys;79508;80512;160020;96464;99985;196449;6226;7240;13466;182198;187737;369935
De 60 a 64 anys;61065;64408;125473;78510;80388;158898;4919;5814;10733;144494;150610;295104
De 65 a 69 anys;74321;83760;158081;76075;87562;163637;3814;4494;8308;154210;175816;330026
De 70 a 74 anys;68230;83541;151771;58306;75000;133306;3355;4256;7611;129891;162797;292688
De 75 a 79 anys;53815;74372;128187;41836;61819;103655;2140;3063;5203;97791;139254;237045
De 80 a 84 anys;29419;51441;80860;22585;41649;64234;1000;1946;2946;53004;95036;148040
De 85 anys i més;20809;47079;67888;14404;37357;51761;767;1823;2590;35980;86259;122239
Total;2176081;2200898;4376979;777556;890654;1668210;247392;213859;461251;3201029;3305411;6506440

