Població. Per lloc de naixement sexe i edat.
Catalunya. 2005
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=677&t=200500
;Catalunya. Homes;Catalunya. Dones;Catalunya. Total;Resta d'Espanya. Homes;Resta d'Espanya. Dones;Resta d'Espanya. Total;Estranger. Homes;Estranger. Dones;Estranger. Total;Total. Homes;Total. Dones;Total. Total
De 0 a 4 anys;173530;162719;336249;2304;2091;4395;8801;9415;18216;184635;174225;358860
De 5 a 9 anys;140445;131642;272087;2967;2904;5871;19733;18551;38284;163145;153097;316242
De 10 a 14 anys;136785;129562;266347;3678;3614;7292;20358;18917;39275;160821;152093;312914
De 15 a 19 anys;144078;136092;280170;5739;5503;11242;23357;21723;45080;173174;163318;336492
De 20 a 24 anys;178367;169380;347747;8900;9585;18485;46375;42758;89133;233642;221723;455365
De 25 a 29 anys;235355;222009;457364;15569;16801;32370;81335;63846;145181;332259;302656;634915
De 30 a 34 anys;230265;218557;448822;26210;26534;52744;82013;58096;140109;338488;303187;641675
De 35 a 39 anys;200626;193299;393925;40171;40564;80735;66116;47137;113253;306913;281000;587913
De 40 a 44 anys;163892;161083;324975;61806;64964;126770;47396;36404;83800;273094;262451;535545
De 45 a 49 anys;131876;130706;262582;78870;85323;164193;30689;24916;55605;241435;240945;482380
De 50 a 54 anys;102480;102666;205146;89316;94416;183732;18458;17566;36024;210254;214648;424902
De 55 a 59 anys;91314;92234;183548;99795;105306;205101;10794;12258;23052;201903;209798;411701
De 60 a 64 anys;73157;76222;149379;87736;91899;179635;7363;9201;16564;168256;177322;345578
De 65 a 69 anys;58267;65482;123749;71882;80190;152072;5429;6845;12274;135578;152517;288095
De 70 a 74 anys;68854;83250;152104;64078;80222;144300;4073;5407;9480;137005;168879;305884
De 75 a 79 anys;55767;75624;131391;44970;65349;110319;2756;3918;6674;103493;144891;248384
De 80 a 84 anys;36630;59526;96156;27523;48499;76022;1474;2418;3892;65627;110443;176070
De 85 anys i més;21711;50486;72197;15974;41126;57100;828;2166;2994;38513;93778;132291
Total;2243399;2260539;4503938;747488;864890;1612378;477348;401542;878890;3468235;3526971;6995206

