Spain,  Deaths (Lexis triangle)	Last modified: 05 Oct 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1908   70      1838     2847.34     2196.81     5044.15
 1908   70      1837     3183.68     2383.05     5566.73
 1908   71      1837      656.24      715.75     1371.99
 1908   71      1836      733.76      776.43     1510.19
 1908   72      1836     1279.36     1246.80     2526.16
 1908   72      1835     1430.48     1352.50     2782.98
 1908   73      1835      917.89     1032.26     1950.15
 1908   73      1834     1026.31     1119.78     2146.09
 1908   74      1834     1214.07     1218.90     2432.97
 1908   74      1833     1357.48     1322.24     2679.72
 1908   75      1833     1427.62     1321.65     2749.27
 1908   75      1832     1614.94     1448.13     3063.07
 1908   76      1832     1098.46     1094.83     2193.29
 1908   76      1831     1242.59     1199.61     2442.20
 1908   77      1831      884.50      987.17     1871.67
 1908   77      1830     1000.56     1081.64     2082.20
 1908   78      1830     1304.42     1271.88     2576.30
 1908   78      1829     1475.58     1393.60     2869.18
 1908   79      1829      629.64      695.28     1324.92
 1908   79      1828      712.26      761.81     1474.07
 1908   80      1828     2244.40     1670.54     3914.94
 1908   80      1827     2539.92     1825.28     4365.20
 1908   81      1827      516.67      458.61      975.28
 1908   81      1826      584.70      501.09     1085.79
 1908   82      1826      904.53      791.66     1696.19
 1908   82      1825     1023.63      864.99     1888.62
 1908   83      1825      620.10      575.06     1195.16
 1908   83      1824      701.75      628.32     1330.07
 1908   84      1824      881.02      743.74     1624.76
 1908   84      1823      997.03      812.63     1809.66
 1908   85      1823      724.62      546.89     1271.51
 1908   85      1822      805.68      584.29     1389.97
 1908   86      1822      581.31      453.80     1035.11
 1908   86      1821      646.34      484.84     1131.18
 1908   87      1821      420.92      326.29      747.21
 1908   87      1820      468.00      348.61      816.61
 1908   88      1820      417.60      361.68      779.28
 1908   88      1819      464.31      386.42      850.73
 1908   89      1819      259.57      193.93      453.50
 1908   89      1818      288.61      207.19      495.80
 1908   90      1818      480.13      243.32      723.45
 1908   90      1817      518.03      252.07      770.10
 1908   91      1817      103.16       67.97      171.13
 1908   91      1816      111.30       70.42      181.72
 1908   92      1816      141.24       76.35      217.59
 1908   92      1815      152.39       79.09      231.48
 1908   93      1815      117.14       64.52      181.66
 1908   93      1814      126.39       66.84      193.23
 1908   94      1814      109.91       44.82      154.73
 1908   94      1813      118.58       46.43      165.01
 1908   95      1813      100.34       40.89      141.23
 1908   95      1812      104.10       40.34      144.44
 1908   96      1812       85.09       39.37      124.46
 1908   96      1811       88.28       38.85      127.13
 1908   97      1811       51.65       19.69       71.34
 1908   97      1810       53.58       19.42       73.00
 1908   98      1810       49.19       19.18       68.37
 1908   98      1809       51.03       18.93       69.96
 1908   99      1809       27.55        8.58       36.13
 1908   99      1808       28.58        8.47       37.05
 1908  100      1808       17.42        2.13       19.55
 1908  100      1807       16.65        1.88       18.53
 1908  101      1807       15.49        5.80       21.29
 1908  101      1806       12.88        4.68       17.56
 1908  102      1806       10.65        3.75       14.40
 1908  102      1805        8.77        3.00       11.77
 1908  103      1805        7.19        2.38        9.57
 1908  103      1804        5.86        1.89        7.75
 1908  104      1804        4.76        1.49        6.25
 1908  104      1803        3.85        1.17        5.02
 1908  105      1803        3.09        0.91        4.00
 1908  105      1802        2.48        0.71        3.19
 1908  106      1802        1.97        0.55        2.52
 1908  106      1801        1.56        0.42        1.98
 1908  107      1801        1.23        0.33        1.56
