Mes;Nom mes;Any;Regió Policial (RP);Àrea Bàsica Policial (ABP);Títol Codi Penal;Tipus de fet;Coneguts;Resolts;Detencions
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De l’homicidi i les seves formes;Homicidi consumat;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De l’homicidi i les seves formes;Homicidi temptativa;1;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;Falsedats documentals;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;Falsificació de moneda i efectes timbrats;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les lesions;Lesions;36;29;9
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;3;2;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;3;;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;103;12;2
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;126;12;2
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;147;18;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;10;8;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;119;9;9
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;64;5;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;19;3;4
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;8;6;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;2;2;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;3;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l’honor;Injúria;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la Constitució;Contra exercici drets fonamentals i llibertats públiques;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;4;2;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Amenaces;35;31;2
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Coaccions;6;6;2
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;2;1;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;2;4;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;2;1;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Obstrucció a la justícia i deslleialtat professional;;;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Trencament de condemna;5;5;1
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra les relacions familiars;Contra els drets i deures familiars;3;3;
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;5;5;6
1;gener;2019;RP  Metropolitana Nord;ABP Arenys de Mar;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;2;3;1
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De l’homicidi i les seves formes;Homicidi per imprudència;1;1;6
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De l’homicidi i les seves formes;Homicidi temptativa;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les falsedats;Falsedats documentals;5;5;2
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les falsedats;Falsificació de moneda i efectes timbrats;1;1;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les lesions;Lesions;58;46;9
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;4;4;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;12;7;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;182;15;2
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;166;23;3
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;1;;
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;369;89;19
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;43;37;3
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;5;6;3
1;gener;2019;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;82;15;15
