Mes;Nom mes;Any;Regió Policial (RP);Àrea Bàsica Policial (ABP);Títol Codi Penal;Tipus de fet;Coneguts;Resolts;Detencions
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;De l’homicidi i les seves formes;Homicidi temptativa;1;1;1
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;Falsedats documentals;4;3;2
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;De les lesions;Lesions;24;24;9
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;4;4;1
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;5;5;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;24;5;1
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;22;5;1
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;1;1;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;40;4;1
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;2;2;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;2;2;1
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;126;9;6
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;45;2;2
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;19;4;2
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;17;6;3
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;1;1;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l’honor;Calúmnia;1;1;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Amenaces;10;10;4
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Coaccions;2;2;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;7;7;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Trencament de condemna;3;2;1
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra les relacions familiars;Contra els drets i deures familiars;9;8;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'ordre públic;Organitzacions i grups criminals;1;;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;3;3;2
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;1;1;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Faltes contra el patrimoni;Faltes contra el patrimoni;207;28;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Faltes contra els interessos generals;Faltes contra els interessos generals;1;;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Faltes contra les persones;Faltes contra les persones;54;47;
1;gener;2014;RP  Metropolitana Nord;ABP Arenys de Mar;Faltes contra l'ordre públic;Faltes contra l'ordre públic;2;2;
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;De les falsedats;De la usurpació de l'estat civil;3;2;1
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;De les falsedats;Falsedats documentals;5;5;1
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;De les falsedats;Usurpació de funcions públiques i intrusisme;1;1;
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;De les lesions;Lesions;28;23;14
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;7;7;1
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;8;8;1
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;44;7;3
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;1;;
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;25;3;2
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;78;10;15
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;27;25;8
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Propietat industrial;1;1;
1;gener;2014;RP  Metropolitana Nord;ABP Badalona;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;8;6;2
