Mes;Nom mes;Any;Regió Policial (RP);Àrea Bàsica Policial (ABP);Títol Codi Penal;Tipus de fet;Coneguts;Resolts;Detencions
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;De l’homicidi i les seves formes;Homicidi temptativa;1;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;Falsedats documentals;1;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;De les falsedats;Falsificació de moneda i efectes timbrats;1;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;De les lesions;Lesions;38;34;6
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;3;3;1
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;2;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;111;11;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;105;8;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;1;;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;154;17;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;8;5;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;107;23;19
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;45;3;3
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;19;6;6
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;14;6;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;2;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l’honor;Injúria;1;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la Constitució;Contra exercici drets fonamentals i llibertats públiques;1;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;3;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;2;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Amenaces;41;36;3
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat;Coaccions;7;4;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;3;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;1;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Acusació, denúncia falsa i simulació de delictes;6;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Obstrucció a la justícia i deslleialtat professional;1;1;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'Administració de justícia;Trencament de condemna;4;4;1
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra les relacions familiars;Contra els drets i deures familiars;4;4;
1;gener;2018;RP  Metropolitana Nord;ABP Arenys de Mar;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;5;5;3
