Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Miquel Iceta","",65,83,81,131,88,51,40,43,60,75,55,115,40,57,51,44,68,53,52,63,74,52,54,99,77,38,149,698,476,181,270
ca,"Miquel Iceta i Llorens","",5,12,8,17,7,9,7,6,7,10,9,85,8,9,8,4,10,3,7,13,9,12,8,11,8,5,10,27,20,24,30
en,"Miquel Iceta","",9,9,10,9,4,5,8,2,2,12,6,8,21,5,13,5,7,5,6,9,4,6,8,2,4,10,15,17,29,10,15
fr,"Miquel Iceta","",0,3,2,3,1,2,1,1,3,3,1,2,0,3,2,1,2,1,0,1,3,3,1,4,1,1,1,3,7,2,8
eu,"Miquel Iceta","",1,2,0,6,9,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,0
gl,"Miquel Iceta","",0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0
sv,"Miquel Iceta","",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
