Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
ca,"Joaquim Forn i Chiariello","",312,301,280,197,72,22,103,23,41,30,38,22,24,142,56,28,14,22,414,1257,1250,1195,1260,1536,34,19,132,211,407,729,564
es,"Joaquim Forn","",127,78,84,148,306,157,188,98,72,80,124,65,53,1390,462,173,88,87,91,244,116,60,55,91,70,64,65,36,38,34,32
en,"Joaquim Forn","",23,16,9,14,29,16,27,17,14,17,17,26,23,125,49,31,17,11,21,31,15,17,201,310,304,87,12,14,19,10,15
fr,"Joaquim Forn","",4,3,2,9,5,3,7,6,3,0,5,4,7,26,17,7,5,6,2,10,5,4,1,1,2,2,3,3,2,2,9
gl,"Joaquim Forn","",1,2,1,0,0,0,0,2,2,0,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
eu,"Joaquim Forn","",1,1,0,0,3,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
se,"Joaquim Forn","",0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0
fi,"Joaquim Forn","",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
cy,"Joaquim Forn","",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
