Language,Title,Badges,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31
es,"Cayetana Álvarez de Toledo","",176,121,111,146,121,115,273,211,200,169,174,476,179,146,12854,24400,11122,48564,62230,38776,21379,22288,8506,8209,5825,4340,4618,5779,2056,4023,22513
ca,"Cayetana Álvarez de Toledo","",1,3,2,3,1,3,0,3,1,2,0,4,1,3,1692,2323,1388,3168,3016,2292,2027,1327,898,856,1083,512,378,505,249,318,891
ast,"Cayetana Álvarez de Toledo","",0,0,0,0,0,0,3,1,0,0,4,17,7,4,312,560,335,679,868,339,156,751,135,139,138,108,70,85,27,87,178
fr,"Cayetana Álvarez de Toledo","",1,1,1,0,2,0,5,0,1,7,4,3,0,2,40,124,69,122,208,107,49,113,29,39,25,30,18,21,9,27,61
en,"Cayetana Álvarez de Toledo","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31,59,78,74,56,55,42,46,32,43,95
